"Name","ParticleCount","MinLife","MaxLife","ParticleMinInterval","ParticleMaxInterval","ParticleMinLife","ParticleMaxLife","ParticleMinAngle","ParticleMaxAngle","ParticleAngleRelativeToParent","ParticleRandomAngle","ParticleMinRadius","ParticleMaxRadius","ParticleMinSpeed","ParticleMaxSpeed","ParticleStartXYAreaRadius","ParticleStartX","ParticleStartZ","ParticleMinVelocityZ","ParticleMaxVelocityZ","ParticleGravity","ParticleMinTailLength","ParticleMaxTailLength","ParticleResource","ParticleExportName","RotateToDirection","LoopParticleClip","StartScale","EndScale","FadeInDuration","FadeOutDuration","Inertia","EnemyVersion","NoBounce","StopOnBounce","RandomScale","NoLowEndOptimization","SortingOffset","Shadow","AngularSpeed","ShadowMulR","ShadowMulG","ShadowMulB","ShadowMulA","ShadowYShift","InverseSpeed","ParticleMinSpawnAngle","ParticleMaxSpawnAngle","TrailMaxPoints","TrailDuration","TrailSWF","TrailExportName","SpecialEffect","FrameFromAngle","RotateMinSpeed","RotateMaxSpeed","IgnoreShadowFlip","ResourceFromAngle","Modifiers","ParticleRadiusAspect","ParticleSpecificEmitter","ParticleSpecificFollow","PlayParticleClipOnce"
"graveyard_blue_particle_bol_big",70,10000,10000,,,500,800,,360,,"true",14,16,10,10,,,,2,,,,,"sc/effects.sc","blue_sparks_skeleton_king",,,60,20,600,500,125,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,
"skleton_king_blue_magic",22,100,190,1,3,50,2800,-90,-90,,"true",,10,,,,,,,,-10,,,"sc/effects.sc","Death_blue_smoke","true",,80,150,,2500,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"skeletons_blue_smoke",6,190,190,1,3,1200,2800,-90,-90,,"true",,,,50,,,,-20,-90,50,,,"sc/effects.sc","Death_blue_smoke","true",,25,40,,3000,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"archer_queen_intro",20,100,600,,,1000,1500,,360,"true","true",2,5,50,100,,,34,100,250,-100,,,"sc/effects.sc","particle_amber_bokeh_gem","true","true",40,40,50,500,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Green_sparkle1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Green_sparkle4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","particle_amber_bokeh_gem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"archer_queen_green_arrow",1,5,5,,,500,1000,,,"true",,,,,,,,,,,,100000,10000,"sc/effects.sc","green_sparks_archer_queen_01","true",,60,30,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"archer_queen_deploy_fx",2,1,1,,,1000,1000,,,"true",,,,,,3,,,200,200,,500,1000,"sc/effects.sc","green_sparks_archer_queen_01","true",,100,300,,1200,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,
"archer_queen_green_puff",29,1,1,,,800,1000,,360,,,,1,100,130,,,3,10,10,25,,,"sc/effects.sc","green_sparks_archer_queen",,,50,70,,2500,350,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,
"archer_queen_hit",26,100,100,,7,110,150,-360,360,,"true",,,300,350,,,,,,,200,500,"sc/effects.sc","Green_sparkle1",,"true",10,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"archer_queen_particles",10,,,,,500,800,-50,40,"true",,,,100,150,,,,,,,,,"sc/effects.sc","Green_sparkle1","true",,50,20,,800,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"archer_queen_arrow_fx",34,,,5,5,500,600,,,"true",,-2,2,,,,,-450,,,,,,"sc/effects.sc","archer_queen_projectile_fx","true",,50,20,,700,,,,,,,,,,,,,,,,,,64,1628,"sc/effects.sc",,,,,,,,,,,,
"golden_knight_intro",20,100,600,,,1000,1500,,360,"true","true",2,5,50,100,,,34,100,250,-100,,,"sc/effects.sc","particle_amber_bokeh_gold","true","true",40,40,50,500,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Gold_sparkle2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","golden_dust",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","golden_sparks_golden_knight",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"golden_knight_deploy_fx",2,1,1,,,1000,1000,,,"true",,,,,,3,,,200,200,,500,1000,"sc/effects.sc","golden_sparks_golden_knight","true",,100,300,,1200,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,
"ability_charging2",70,900,900,,2,1,400,,360,"true","true",8,8,1,,,,,-2000,-1000,,,,"sc/effects.sc","Gold_sparkle2",,"true",40,1,,300,1,,,,,,,,,,,,95,-68,,,,,,,,,,80,,,,"BounceAway",,,,
"ability_charging_3",54,5,900,,5,4,900,,360,"true","true",8,8,,,,,,,-1000,500,,,"sc/effects.sc","Gold_sparkle2",,"true",80,30,,400,1,,,,,,,,,,,,95,-68,,,,,,,,,,80,,,,"BounceAway",,,,
"golden_knight_puf",12,1,1,,,800,1300,,360,,"true",-1,,40,70,,,21,20,,,,,"sc/effects.sc","d1","true",,100,120,1600,1600,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","d2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","d3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","d4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"golden_kinght_smoke",29,1,1,,,800,1000,,360,,,,1,100,130,,,3,10,10,25,,,"sc/effects.sc","explosion_yellow_glow1",,,20,30,,1500,350,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,
"sk_crown",1,800,800,25,25,1500,1500,,360,,,,,,,,,52,950,1200,-3000,,,"sc/effects.sc","SK_Death_Crown",,"true",90,80,,100,,,,,,,,"true",,,,,,,,,,,,,,,,1,11,,,,,,,
"golden_knight_sword",1,1,1,,1,24000,25000,,360,,"true",,,,50,,,,,,,,,"sc/effects.sc","GK_Death_Sword",,,120,120,,1000,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"archer_queen_particles_invisible",10,3000,3000,10,100,900,800,,360,"true",,,5,,50,,,,,,200,,,"sc/effects.sc","inferno_hit",,"true",30,10,,500,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","war_card_sparkle2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"archer_queen_smoke_purple",16,190,190,1,3,1500,2800,,360,,"true",,,,50,,,,,,120,,,"sc/effects.sc","explosion_purple_glow1","true",,40,20,600,4000,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"card_champion_reveal_gather_001",50,1500,2500,10,20,600,800,,365,,"true",30,50,800,1500,,,,,,,500,500,"sc/effects.sc","White_sparkle",,,65,35,300,400,3000,,,,25,,,,,,,,,,"true",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","blue_sparks",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Death_blue_sparkle1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Death_blue_sparkle2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"champion_card_reveal_sparks",19,800,800,5,10,600,800,,360,,"true",-8,16,125,160,62,,,100,350,35,,,"sc/effects.sc","blue_sparks",,,35,15,,500,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","White_sparkle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"card_champion_burst",12,1,1,,1,900,1800,,360,"true",,,10,100,250,,,,,,100,,,"sc/effects.sc","blue_sparks",,"true",65,10,,300,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","White_sparkle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","blue_sparks",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"skeleton_king_charge_magic",14,100,190,1,3,50,1800,-90,-90,,"true",,10,,,,,,,,-10,,,"sc/effects.sc","Death_blue_smoke","true",,60,60,,3600,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ability_charging_archer_queen",54,5,900,,5,4,900,,360,"true","true",8,8,,,,,,,-1000,500,,,"sc/effects.sc","Green_sparkle1",,"true",80,30,,400,1,,,,,,,,,,,,95,-68,,,,,,,,,,80,,,,"BounceAway",,,,
"ability_charching_skeleton_king",54,5,900,,5,4,900,,360,"true","true",8,8,,,,,,,-1000,500,,,"sc/effects.sc","Death_blue_sparkle1",,"true",80,30,,400,1,,,,,,,,,,,,95,-68,,,,,,,,,,80,,,,"BounceAway",,,,
"ability_charging_golden_knight",54,5,900,,5,4,900,,360,"true","true",8,8,,,,,,,-1000,500,,,"sc/effects.sc","Death_orange_sparkle1",,"true",80,30,,400,1,,,,,,,,,,,,95,-68,,,,,,,,,,80,,,,"BounceAway",,,,
"card_champion_reveal_explode_002",45,200,300,,,600,1200,,365,,,,,250,500,,,,65,150,,100,200,"sc/effects.sc","blue_sparks","true",,60,25,,200,250,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","White_sparkle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"card_champion_reveal_explode_001",40,200,300,,,350,1200,,365,,,,,600,800,,,,,150,-500,100,200,"sc/effects.sc","Death_blue_sparkle1","true",,60,20,,200,50,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Death_blue_sparkle3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Death_blue_sparkle4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"card_champion_reveal_explode",35,200,300,,,350,1200,,365,,,,,650,2000,,,,,50,,500,500,"sc/effects.sc","Death_blue_sparkle1","true",,80,25,,200,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Death_blue_sparkle2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","White_sparkle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Death_blue_sparkle3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"goblin_drill_smoke",31,500,500,50,100,2000,2200,90,270,,"true",-1,1,1,2,,,,40,60,,,,"sc/effects.sc","d2","true",,60,120,1000,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","d4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ice_wizard_area",1,1,1,,1,1000,1000,,,,"true",,,,,,,,,,,,,"sc/effects.sc","freeze_effect_ground",,,144,144,1000,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Poison_skull_china",15,3000,3000,140,300,1500,2300,,360,,"true",5,15,,,,,,,20,1,,,"sc/effects.sc","poisoncloud_small",,"true",1,150,,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"mighty_miner_intro",20,100,600,,,1000,1500,,360,"true","true",2,5,50,100,,,34,100,250,-100,,,"sc/effects.sc","golden_sparks_golden_knight","true","true",40,40,50,500,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Death_orange_sparkle1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Death_orange_sparkle2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","particle_amber_bokeh_gold",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"mighty_miner_rocks",10,100,100,,5,100,500,,360,,"true",,,80,100,,,9,200,300,-1000,,,"sc/effects.sc","Rock1Particle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Rock2Particle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Rock3Particle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"mighty_miner_earthquake",16,3800,3800,25,25,1000,1000,,360,,,-10,10,,,,,,50,70,-200,,,"sc/effects.sc","Rock3Particle_b_shake",,"true",60,60,,600,,,,,,,,,,,,77,36,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Rock1Particle_b_shake",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Rock2Particle_b_shake",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ligthning_hits",11,450,450,50,75,400,400,-360,360,,"true",4,4,25,30,,,23,,,,,,"sc/effects.sc","electricity","true",,50,80,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"lightning_spell_sparks",70,300,300,10,2,400,600,,360,,"true",1,1,80,500,,,35,150,150,,,,"sc/effects.sc","blue_sparks","true",,20,30,,50,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"lightning_splash",50,200,200,1,2,400,800,-200,20,"true","true",,3,80,150,,,,,,1000,50,300,"sc/effects.sc","Tower_projectile1","true","true",80,100,,900,10,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"mighty_miner_sparkles",10,10000,10000,,10,50,50,1,360,"true","true",,2,300,350,,,50,60,100,,500,500,"sc/effects.sc","Sparkle","true",,110,150,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true"
"mighty_miner_zap_sparks",6,30000,30000,10,10,400,600,,360,,"true",1,1,50,150,,,35,50,100,-1000,,,"sc/effects.sc","Death_orange_sparkle1","true",,20,30,,400,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"mighty_miner_sparks_lv2",14,30000,30000,10,10,400,600,,360,,"true",1,1,50,150,,,35,50,100,-1000,,,"sc/effects.sc","Death_orange_sparkle1","true",,20,30,,400,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true"
"mighty_miner_sparkles_lv3",36,10000,10000,,10,100,200,1,180,"true","true",,2,300,350,,,50,60,100,,200,200,"sc/effects.sc","red_sparks_mightym","true",,300,150,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true"
"mighty_miner_spark_lv1",30,10000,10000,,10,200,250,1,180,"true","true",,2,200,250,,,52,,,,600,800,"sc/effects.sc","get_legend_spark1","true",,2,10,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"mighty_miner_sparkles_lv2",36,10000,10000,,10,100,100,1,180,"true","true",,2,300,350,,,50,60,100,,100,100,"sc/effects.sc","yellow_sparks_mightym","true",,300,150,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true"
"mighty_miner_rocks_01",4,20000,40000,,5,400,800,,360,,"true",,,30,75,,,35,50,120,-10000,,,"sc/effects.sc","Rock1Particle",,,80,10,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Rock2Particle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Rock3Particle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"mighty_miner_dig",34,10000,10000,25,50,1200,1700,,360,,"true",,,10,30,,,,,,-2000,,,"sc/effects.sc","miner_trail","true",,140,160,,,500,,,,10,"true",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","miner_trail2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","miner_trail3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"mastery_task_unlock_magicdust",26,1,2,,1,600,1600,,360,,"true",,20,50,30,,,,,200,-50,,30,"sc/effects.sc","Green_sparkle2",,,70,10,,500,1,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Death_purple_sparkle2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"mastery_task_unlock_magicburst",27,1,2,,1,900,1400,,360,"true",,,20,,100,,,,,,200,,,"sc/effects.sc","Green_sparkle4",,"true",60,40,,300,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","inferno_hit",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"mastery_task_unlock_flash",1,,,,,400,500,,360,"true",,,,,,,,,,,,,,"sc/effects.sc","explosion_green_glow1",,,50,80,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"pass_royale_claim_sparkle",22,3000,3000,10,100,700,900,,360,"true","true",4,10,,50,,,,,,150,,,"sc/effects.sc","Gold_sparkle2",,"true",100,10,,300,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Gold_sparkle2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Gold_sparkle3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Gold_sparkle3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"monk_intro",20,100,600,,,1000,1500,,360,"true","true",2,5,50,100,,,34,100,250,-100,,,"sc/effects.sc","particle_amber_bokeh_gold","true","true",40,40,50,500,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Gold_sparkle2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","golden_dust",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","golden_sparks_golden_knight",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"monk_deploy",2,1,1,,,1000,1000,,,"true",,,,,,3,,,200,200,,500,1000,"sc/effects.sc","golden_sparks_golden_knight","true",,100,300,,1200,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,
"phoenix_magic",8,1,1,,1,900,1800,,360,"true",,,4,,10,,,,,,-20,,,"sc/effects.sc","blue_sparks",,"true",40,10,,300,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"phoenix_magic_dust",8,900,900,5,10,400,600,,360,,"true",-3,6,1,2,,,,20,30,2,,,"sc/effects.sc","inferno_spark_red",,,15,10,,500,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"phoenix_gold_radius",2,,,,,400,800,,,"true",,,,,,,,,,,,,,"sc/effects.sc","Deco_small_glow","true",,40,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"egg_phoenix_floor",3,100,100,10,20,200,800,,365,,"true",,,50,100,,,,,,,1000,1000,"sc/effects.sc","explosion_yellow_glow1",,,15,25,,600,100,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,
"egg_phoenix_radial",5,2500,2500,10,10,800,800,,360,,,2,4,5,25,,,,25,50,25,,,"sc/effects.sc","Gold_sparkle3",,,50,,1000,500,25,,,,25,,,,,,,,,,,,,200,469,"sc/effects.sc","reflection_blob",,,,,,,,,,,
"egg_phoenix_debris",4,400,400,,5,1200,150,,360,,"true",,,100,150,,,20,250,300,-2000,,,"sc/chr_phoenix_dl.sc","Egg_phoenix_debris","true",,70,80,,500,200,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/chr_phoenix_dl.sc","Egg_phoenix_debris_2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/chr_phoenix_dl.sc","Egg_phoenix_debris_3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"phoenix_area_sparks",26,50,100,,10,350,400,1,360,"true","true",,2,100,400,,-1,,20,100,,100,10000,"sc/effects.sc","golden_dust","true",,40,25,,250,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"phoenix_puff",55,1,2,,,500,500,,360,,"true",3,4,40,40,,,,20,,25,,,"sc/effects.sc","FireParticle3_small",,,50,80,,500,80,,,,,,,"true",,,,43,95,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","d2__yellow",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","d3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","FireParticle2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"phoenix_charging",70,200,200,,5,500,500,,360,"true","true",2,2,1,,,,317,-2000,-1000,,,,"sc/effects.sc","FireParticle1_small",,"true",70,60,,300,1,,,,,,,"true",,,,,95,-68,,,,,,,,,,80,,,,"BounceAway",,,,
"phoenix_smoke",29,1,1,,,800,1300,,360,,,,1,100,130,,,41,50,100,25,,,"sc/effects.sc","explosion_yellow_glow1",,,20,60,,1500,350,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,
"phoenix_burst",15,1,1,,1,500,800,,360,"true",,,10,,100,,,,,,500,,,"sc/effects.sc","golden_dust2",,"true",50,10,,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","golden_dust",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Deco_small_glow2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"phoenix_enemy_magic",8,1,1,,1,900,1800,,360,"true",,,4,,10,,,,,,100,,,"sc/effects.sc","Gold_sparkle3",,"true",20,10,,300,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Death_orange_sparkle1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"egg_blue_phoenix_debris",4,400,400,,5,1200,150,,360,,"true",,,100,150,,,20,250,300,-2000,,,"sc/chr_phoenix_dl.sc","Egg_blue_phoenix_debris_1","true",,70,80,,500,200,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/chr_phoenix_dl.sc","Egg_blue_phoenix_debris_2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/chr_phoenix_dl.sc","Egg_blue_phoenix_debris_3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"consumable_wildcard_champion_piece01_drop",1,,,,,1500,1500,180,,,,,,50,50,,,,200,200,-2000,,,"sc/ui_chest.sc","wildcard_champion_piece_01_out",,"true",120,100,,300,,,"true",,,,,,,,,,,,,,,,,,,,,,-45,,,,,,,
"consumable_wildcard_champion_piece02_drop",1,1,1,,1,1500,1500,,,,,,,45,60,,,,200,200,-2000,,,"sc/ui_chest.sc","wildcard_champion_piece_02_out",,"true",110,100,,300,,,"true",,,,,,,,,,,,,,,,,,,,,,50,,,,,,,
"consumable_wildcard_champion_piece03_drop",1,1,1,,1,1500,1500,180,,,,,,45,60,,,,180,210,-2000,,,"sc/ui_chest.sc","wildcard_champion_piece_03_out",,"true",120,100,,300,,,"true",,,,,,,,,,,,,,,,,,,,,-200,,,,,,,,
"consumable_wildcard_champion_piece04_drop",1,1,1,,1,1500,1500,,,,,,,45,60,,,,180,210,-2000,,,"sc/ui_chest.sc","wildcard_champion_piece_04_out",,"true",120,100,,300,,,"true",,,,,,,,,,,,,,,,,,,,,50,360,,,,,,,
"consumable_wildcard_champion_smoke",24,100,100,1,1,1400,1800,,360,,"true",3,7,25,50,,,14,20,30,200,,,"sc/effects.sc","Deco_fireplace_glow","true","true",60,70,120,1500,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","heal_effect_ground",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","poisoncloud_small",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","explosion_yellow_glow1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","explosion_yellow_glow1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Smoke_puff_02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"projectile_monk_deflection",50,800,1000,25,25,500,500,,,"true",,,,,,,,,,,,,,"sc/effects.sc","projectile_speed_line_monk","true",,80,80,50,350,,,,,,,,,,,,,,,,,,64,1628,"sc/effects.sc",,,,,,,,,,,,
"hoggy_bank_gold_explode1",36,1000,1000,25,25,2300,2300,,180,,,1,30,80,80,90,,3,1500,1400,-3000,,,"sc/ui.sc","coin_ingame_anim",,,100,100,,,,,"true",,,,,,,,,,,,,,,,,,,,,1,11,"true",,,,,,
