"Name","EN","FR","DE","ES","IT","NL","NO","TR","JP","KR","RU","AR","PT","CN","CNT","FA","ID","MS","TH","FI","VI"
"TID_SKILL_SET_1_ELECTOR_GIANT_DES","Summons an electric field around himself, dealing Damage and stunning nearby enemies every 2s","Invoque un champ électrique autour de lui, infligeant des dégâts et étourdissant les ennemis proches toutes les 2s","Umgibt sich mit einem elektrischen Feld. Dieses richtet Schaden an und betäubt Gegner in der Nähe 2 Sekunden lang.","Invoca un campo eléctrico a su alrededor que inflige daño y aturde a los enemigos cercanos cada 2 segundos.","Crea un campo elettrico attorno a sé, che danneggia e stordisce i nemici vicini ogni due secondi.","Roept een elektrisch veld op om zich heen dat elke 2 seconden schade toebrengt en vijanden in de buurt verdooft.","Påkaller et elektrisk felt rundt seg selv, påfører skade og svimeslår fiender i nærheten hvert 2. sekund","İki saniyede bir etrafında bir elektrik alanı oluşturarak yakındaki düşmanlara hasar verir ve onları sersemletir.","周囲に電撃エリアを作り出し、2秒ごとに近くの敵にダメージを与えてスタンさせます。","2초마다 자신 주변에 전기 영역을 소환하여 주변 적에게 피해를 입히고 기절시킵니다.","Создает вокруг себя электрическое поле, которое наносит урон и оглушает ближайших врагов каждые 2 с.","يستدعي حوله حقلاً كهربائيًا، فيلحق الضرر بالأعداء القريبين ويصعقهم كل ثانيتين.","Invoca um campo elétrico ao seu redor que causa dano e atordoa os inimigos próximos a cada 2s.","在自身周围生成电场，每2秒会对附近敌人造成伤害并使其眩晕。","在自己周圍生成電場，每2秒會對附近敵人造成傷害並使其暈眩。","یه میدان الکتریکی دور خودش ایجاد می‌کنه که هر 2 ثانیه به دشمنان نزدیک آسیب می‌زنه و اونا رو گیج می‌کنه","Mengerahkan medan listrik di sekitarnya untuk memberi Kerusakan dan mengejutkan lawan di dekatnya selama 2d.","Mengaktifkan medan elektrik di sekeliling dia, melakukan kerosakan dan memegun musuh berdekatan setiap 2 saat.","อัญเชิญสนามไฟฟ้ารอบตัว สร้างความเสียหาย และสตันศัตรูที่อยู่ใกล้ทุกๆ 2 วินาที","Luo ympärilleen sähkökentän, joka aiheuttaa tuhoa ja lamaannuttaa lähellä olevia vastustajia kahden sekunnin välein.","Tạo ra một vùng điện từ xung quanh anh ta, gây ra Sát thương và khiến kẻ địch ở gần bị choáng mỗi 2 giây."
"TID_SKILL_SET_1_BANDIT_DES","Dashes to the farthest enemy in 3 Hexes after certain hits, dealing bonus Damage and stunning all in her path for 1s","Se rue vers l'ennemi le plus éloigné sur 3 hexas après certains coups, infligeant des dégâts bonus et étourdissant tous les ennemis sur son passage (1s)","Schnellt zum am weitesten entfernten Feind in 3 Hexfeldern. Dies verursacht Bonusschaden und betäubt alle Gegner 1 Sekunde lang.","Se impulsa hacia el enemigo más lejano en 3 hexágonos tras algunos ataques, infligiendo daño extra y aturdiendo a todo lo que se cruce en su camino durante 1 segundo.","Dopo un certo numero di colpi sferrati, scatta verso il nemico più lontano che si trova entro tre caselle di distanza, causando danni extra e lasciando stordito per un secondo chiunque si trovi sulla sua traiettoria.","Sprint na bepaalde treffers naar de verste vijand binnen 3 hexen, waarbij ze bonusschade doet en alles op haar pad 1s lang verdooft.","Spurter til fienden lengst unna i tre heksagoner etter sikre treff, noe som gjør ekstra skade og svimeslår alle i hennes vei i 1 sekund","Belirli sayıda vuruşun ardından 3 altıgenlik mesafedeki en uzak düşmana koşarak bonus hasar verir ve 1 sn boyunca yoluna çıkan herkesi sersemletir.","一定回数攻撃すると、3マス以内の最も遠い敵に突進し、軌道上の敵に追加ダメージと1秒のスタン効果を与えます。","특정 공격 후 3칸 중 가장 멀리 있는 적에게 돌진하여 추가 피해를 주고, 경로에 있는 모든 적을 1초 동안 기절시킵니다.","Попав несколько раз, бросается к самому дальнему врагу в пределах 3 клеток, нанося больше урона и оглушая всех на 1 с.","تندفع إلى أبعد عدو في نطاق 3 أسداس بعد ضربات معينة، فتلحق ضررًا إضافيًا وتصعق كل من في طريقها لمدة 1 ث.","Após alguns acertos, investe contra o inimigo mais longe (três hexágonos), causa dano extra e atordoa todos no caminho por 1s.","向3格内距离最远敌人发动突袭，每攻击几次会对路径上所有敌人造成50%额外伤害并使其眩晕1秒。","向3格內距離最遠敵人發動突襲，每攻擊幾次會對路徑上所有敵人造成50%額外傷害並使其暈眩1秒。","بعد چند تا ضربه، سمت دورترین دشمن تا 3 خونه اون‌ورتر یورش می‌بره، آسیب اضافی می‌زنه و همه‌ دشمنایی رو که سر راهش هستن 1 ثانیه گیج می‌کنه","Setelah beberapa serangan, dia melesat ke lawan terjauh dalam Radius 3 Heksagon untuk memberi Kerusakan ekstra dan mengejutkan semua lawan yang dilalui selama 1d.","Meluru ke arah musuh paling jauh dalam 3 heks selepas serangan tertentu, melakukan kerosakan bonus dan memegun semua musuh dalam laluannya selama 1s.","พุ่งใส่ศัตรูที่อยู่ไกลที่สุดในระยะช่องหกเหลี่ยม 3 ช่องหลังการโจมตีจำนวนหนึ่ง สร้างโบนัสความเสียหายเพิ่ม และสตันศัตรูทั้งหมดที่ขวางทางเธอเป็นระยะเวลา 1 วินาที","Syöksyy 3 ruudun sisällä kauimmaisen vastustajan luo tiettyjen osumien jälkeen aiheuttaen lisätuhoa ja lamaannuttaen kaikki tielleen osuvat 1 s ajaksi.","Sau một số lần đánh trúng nhất định, Nữ tặc sẽ xông về phía kẻ địch xa nhất trong 3 ô lục giác, gây thêm Sát thương và khiến tất cả kẻ địch trên đường đi của cô ta bị choáng trong 1 giây."
"TID_SKILL_SET_1_MEGA_KNIGHT_DES","Jumps and strikes the largest group of enemies every few seconds, dealing Damage and stunning enemies in its Hex Radius for 2s","Bondit sur le plus grand groupe d'ennemis par intervalles, infligeant des dégâts et étourdissant les ennemis dans le rayon de son hexa (2s)","Springt und trifft wiederholt die größte Gegnergruppe. Das erzeugt Schaden und betäubt Gegner im Hexradius 2 Sekunden lang.","Salta y golpea al grupo enemigo más grande cada pocos segundos, infligiéndoles daño y aturdiendo a los enemigos en su radio de acción durante 2 segundos.","Fa un balzo e assalta il gruppo di nemici più grosso a intervalli regolari, danneggiando e lasciando storditi per due secondi gli avversari nel suo raggio d'azione.","Springt en valt elke paar sec. de grootste groep vijanden aan, waarbij hij schade doet en vijanden binnen bereik 2s lang verdooft.","Den hopper og angriper den største gruppen med fiender med noen sekunders mellomrom. Gjør skade og svimeslår fiender i heksagonradiusen sin i 2 sekunder","Birkaç saniyede bir en büyük düşman grubunun üstüne atlayıp saldırarak hasar verir ve 2 sn boyunca altıgen yarıçapındaki düşmanları sersemletir.","敵が最も密集した場所へ数秒ごとにジャンプし、範囲内の敵にダメージを与えて2秒間スタンさせます。","몇 초마다 점프해 가장 큰 적 무리를 강타하여 피해를 입히고, 2초 동안 육각형 반경 내의 적을 기절시킵니다.","Периодически прыгает к самой крупной группе врагов, оглушая их на 2 с. и нанося урон.","يقفز ويضرب أكبر مجموعة أعداء كل عدة ثوان، فيلحق الضرر بالأعداء في نطاق سدسه ويصعقهم لمدة 2 ث.","Dá um salto e golpeia o maior grupo de inimigos a cada poucos segundos. Além de causar dano, também atordoa os inimigos em seu raio hexagonal por 2s.","每过几秒跳跃至敌人最密集区域发动攻击，对处于他攻击范围内的敌人造成伤害并使其眩晕2秒。","每隔幾秒跳躍至敵人最密集區域發動攻擊，對處於他攻擊範圍內的敵人造成傷害並使其暈眩2秒。","هر چند ثانیه یه‌بار می‌پره و به بزرگ‌ترین گروه دشمنان ضربه می‌زنه و توی شعاع خونه خودش به دشمن‌ها آسیب می‌رسونه و به‌مدت 2 ثانیه اون‌ها رو گیج می‌کنه","Melompat dan menyerang kawanan lawan terbesar setiap beberapa detik, memberi Kerusakan dan efek kejut dalam Radius Heksagon selama 2d.","Melompat dan menyerang kumpulan musuh terbesar setiap beberapa saat, melakukan kerosakan dan memegun musuh dalam radius heks selama 2s.","กระโดดใส่และโจมตีศัตรูที่กลุ่มใหญ่ที่สุดทุกๆ 2-3 วินาที สร้างความเสียหายและสตันศัตรูในช่องหกเหลี่ยมของเขาเป็นระยะเวลา 2 วินาที","Hyppää ja iskee isointa vastustajajoukkoa muutaman sekunnin välein aiheuttaen tuhoa ja lamaannuttaen ruutuvaikutusalueellaan olevat vastustajat 2 sekunnin ajaksi.","Nhảy đến tấn công nhóm kẻ địch đông nhất sau mỗi vài giây, gây Sát thương và khiến kẻ địch trong phạm vi ô lục giác của anh ta bị choáng trong 2 giây."
"TID_SKILL_SET_1_ARCHER_QUEEN_DES","Fires multiple arrows at her closest enemies. When her HP drops below 50%, she'll turn invisible and deal bonus Damage","Tire des flèches sur les ennemis les plus proches. Devient invisible et inflige des dégâts bonus une fois ses PV en dessous de 50 %","Feuert Pfeile auf die nächsten Feinde. Sinken ihre TP unter 50 %, verursacht sie Bonusschaden und wird unsichtbar.","Dispara varias flechas a los enemigos más cercanos. Si sus PV bajan del 50 %, se vuelve invisible e inflige daño extra.","Scocca una serie di frecce verso i nemici più vicini e, quando la sua salute scende sotto il 50%, diventa invisibile e causa danni aggiuntivi.","Vuurt pijlen af naar nabije vijanden. Ze wordt onzichtbaar bij -50% gezondheid en deelt dan extra schade uit.","Skyter flere piler på de nærmeste fiendene. Når HP-en hennes kommer under 50 %, blir hun usynlig og gjør ekstra skade","En yakın düşmanına birden fazla ok atar. İP'si %50'nin altına düştüğünde görünmez olur ve bonus hasar verir.","最も近い敵に複数の矢を放ち、ヒットポイントが50％未満になると透明化してダメージが上昇します。","가장 가까운 적에게 여러 개의 화살을 발사하고 HP가 50% 미만으로 떨어지면 투명화되어 추가 피해를 줍니다.","Стреляет в ближайших врагов. Когда запас ее здоровья падает ниже 50 %, становится невидимой и наносит повышенный урон.","تطلق سهامًا عديدة على أقرب أعدائها وعندما تنخفض صحتها إلى أقل من 50%، تختفي وتلحق ضررًا إضافيًا.","Dispara várias flechas contra os inimigos mais próximos. Quando sua saúde é reduzida a menos de 50%, ela fica invisível e causa dano extra.","向距离最近的多个敌人分别发射多支箭矢，且当生命值首次降到50%以下时，她会隐形并造成额外伤害。","分別向最靠近的敵人發射多支箭矢，且當生命值第一次降到50%以下時，她會隱身並造成額外傷害。","چند تیر به نزدیک‌ترین دشمناش می‌زنه. وقتی تحمل ضربه‌ش به زیر 50% برسه، نامرئی می‌شه و آسیب اضافی وارد می‌کنه","Menembakkan beberapa panah pada lawan terdekat. Saat HP di bawah 50%, dia menjadi tak terlihat dan memberikan kerusakan ekstra.","Menembak beberapa anak panah ke arah musuh terdekat. Apabila nilai nyawa kurang daripada 50%, dia akan menjadi halimunan dan melakukan kerosakan bonus.","ยิงธนูหลายดอกใส่ศัตรูที่อยู่ใกล้ที่สุด เมื่อมีพลังชีวิตเหลือน้อยกว่า 50% เธอจะล่องหนและสร้างโบนัสความเสียหายเพิ่ม","Ampuu useita nuolia lähimpiin vastustajiin. Elinvoiman pudotessa alle 50 %:n, muuttuu näkymättömäksi ja aiheuttaa lisätuhoa.","Bắn nhiều mũi tên về phía kẻ địch gần nhất. Khi lượng Máu còn dưới 50%, cô ta sẽ tàng hình và gây ra thêm Sát thương."
"TID_TRAIT_UNDEAD_DES_A","Curses 2 enemies, max HP cut by 25%","Maudit 2 ennemis, PV max réduits de 25 %","Verflucht zwei Gegner, max. TP um 25 % verringert.","Maldice a 2 enemigos y reduce sus PV máximos en un 25 %.","Maledice due nemici e riduce la loro salute massima del 25%.","Vervloekt 2 vijanden, max. gezondheid -25%.","Forhekser 2 fiender, maks HP redusert med 25 %","2 düşmanı lanetler, maksimum İP'leri %25 azalır","敵2体に呪いをかけ、最大ヒットポイントを25％減少","적 2개를 저주하고, 최대 HP를 25% 감소시킵니다.","Проклинает 2 врагов: -25 % к максимальному запасу здоровья.","إصابة عدوين باللعنة، تقل الصحة القصوى بنسبة 25%.","Amaldiçoa dois inimigos e reduz a saúde máxima deles em 25%.","诅咒2个敌人，使其最大生命值减少25%","詛咒2個敵人，使其最大生命值減少25%","2 دشمن رو طلسم می‌کنه، کاهش حداکثر تحمل ضربه به‌اندازه 25%","Mengutuk 2 lawan, HP maks. dipangkas 25%","Menyumpah 2 musuh, nilai nyawa maksimum berkurang 25%.","สาปศัตรู 2 ตัว พลังชีวิตสูงสุดลดลง 25%","Kiroaa kaksi vastustajaa vähentäen maksimielinvoimaa 25 %.","Nguyền rủa 2 kẻ địch, lượng Máu tối đa giảm 25%"
"TID_TRAIT_UNDEAD_DES_B","Curses 3 enemies, max HP cut by 50%","Maudit 3 ennemis, PV max réduits de 50 %","Verflucht drei Gegner, max. TP um 50 % verringert.","Maldice a 3 enemigos y reduce sus PV máximos en un 50 %.","Maledice tre nemici e riduce la loro salute massima del 50%.","Vervloekt 3 vijanden, max. gezondheid -50%.","Forhekser 3 fiender, maks HP redusert med 50 %","3 düşmanı lanetler, maksimum İP'leri %50 azalır","敵3体に呪いをかけ、最大ヒットポイントを50％減少","적 3개를 저주하고, 최대 HP를 50% 감소시킵니다.","Проклинает 3 врагов: -50 % к максимальному запасу здоровья.","إصابة 3 أعداء باللعنة، تقل الصحة القصوى بنسبة 50%.","Amaldiçoa três inimigos e reduz a saúde máxima deles em 50%.","诅咒3个敌人，使其最大生命值减少50%","詛咒3個敵人，使其最大生命值減少50%","3 دشمن رو طلسم می‌کنه، کاهش حداکثر تحمل ضربه به‌اندازه 50%","Mengutuk 3 lawan, HP maks. dipangkas 50%","Menyumpah 3 musuh, nilai nyawa maksimum berkurang 50%.","สาปศัตรู 3 ตัว พลังชีวิตสูงสุดลดลง 50%","Kiroaa kolme vastustajaa vähentäen maksimielinvoimaa 50 %.","Nguyền rủa 3 kẻ địch, lượng Máu tối đa giảm 50%"
"TID_TRAIT_BRAWLER_DES_A","+40%","+40 %","+40 %","+40 %.","+40%","+40%","+40 %","+%40","+40％","+40%","+40 %.","+40‏%","+40%.","+40%","+40%","‎+40%‎","+40%","+40%","+40%","+40 %","+40%"
"TID_TRAIT_BRAWLER_DES_B","+80% for Brawlers, +30% for the team","+80 % pour les Bagarreurs, +30 % pour l'équipe","+80 % für Kolosse und +30 % fürs Team","+80 % para los luchadores; +30 % para el equipo.","+80% per i lottatori e +30% per la squadra.","+80% voor knokkers, +30% voor het team","+80 % for hardhauser, +30 % for laget","Savaşçılar için +%80 ve takım için +%30","ファイターユニットは80％、その他の味方は30％上昇","브롤러 유닛은 +80% 증가하고, 나머지 유닛은 +30% 증가합니다.","+80 % для бойцов, +30 % для команды.","+%80 للمقاتلين و+30% للفريق","+80% para os Combatentes e +30% para a equipe.","斗士+80%，队伍+30%","鬥士+80%，隊伍+30%","‎+80% برای برالرها، ‎+30% برای تیم","+80% untuk Petarung dan +30% untuk tim","+80% untuk brawler, +30% untuk pasukan","เพิ่ม 80% สำหรับนักสู้ และเพิ่ม 30% สำหรับทีม","+80 % rämäpäille ja +30 % joukkueelle","+80% cho các Chiến binh, +30% cho đội"
"TID_TRAIT_MAGE_DES_A","20%","20 %","20 %","20 %.","20%","20%","20 %","%20","20％","20%","20 %","20‏%","20%.","20%","20%","20%","20%","20%","20%","20 %","20%"
"TID_TRAIT_VIOLET_DES_A","5% True Damage","5 % de dégâts bruts","5 % Direktschaden","5 % de daño verdadero.","5% di danni reali","5% ware schade","5 % ekte skade","%5 tam hasar","5％の防御無視ダメージを付与","5%의 고정 피해를 입힙니다.","5 % реального урона","5‏% ضرر حقيقي","5% de dano verdadeiro.","5%真伤","5%真實傷害","5% آسیب واقعی","5% Kerusakan Asli","5% kerosakan sebenar","ความเสียหายจริง 5%","5 % tarkkaa tuhoa","5% Sát thương thực"
"TID_TRAIT_VIOLET_DES_B","10% True Damage","10 % de dégâts bruts","10 % Direktschaden","10 % de daño verdadero.","10% di danni reali","10% ware schade","10 % ekte skade","%10 tam hasar","10％の防御無視ダメージを付与","10%의 고정 피해를 입힙니다.","10 % реального урона","10‏% ضرر حقيقي","10% de dano verdadeiro.","10%真伤","10%真實傷害","10% آسیب واقعی","10% Kerusakan Asli","10% kerosakan sebenar","ความเสียหายจริง 10%","10 % tarkkaa tuhoa","10% Sát thương thực"
"TID_SPELL_ATTRIBUTE_ROLLING_DISTANCE","Roll Range","Distance de roulage","Rollreichweite","Alcance del ruedo","Portata del rotolamento","Bereik rol","Rulleavstand","Yuvarlanma Menzili","転がる範囲","치유 범위","Дальность качения","مدى الدحرجة","Alcance de rolamento","滚动范围","滾動範圍","دامنه غلتیدن","Jarak Gelinding","Jarak Golekan","ระยะกลิ้ง","Pyörimiskantama","Phạm vi lăn"
"TID_TERMS_OF_SERVICE_1","We have updated our:","Nous avons mis à jour nos :","Wir haben Folgendes aktualisiert:","Hemos actualizado nuestras","Abbiamo aggiornato","We hebben het volgende bijgewerkt:","Vi har oppdatert våre:","Şunu güncelledik:","以下を更新しました。","개정사항:","Мы обновили наши","قمنا بتحديث الآتي:","Atualizamos os nossos:","我们更新了：","我們更新了：","ما این موارد را به‌روزرسانی کرده‌ایم:","Kami telah memperbarui:","Kami telah kemas kini:","เราได้อัปเดต:","Olemme päivittäneet","Chúng tôi đã cập nhật:"
"TID_SPELL_INFO_EVO_HUNTER","Be very, very quiet.\n\nEvolved Hunter throws a net that stuns the closest troop. If that troop is in the air, it'll ground them.","Chuuuut !\n\nLe chasseur évolué balance un filet sur la troupe la plus proche, l'étourdissant. Si la troupe est aérienne, elle devient terrestre.","Gib keinen Mucks von dir.\n\nDer entwickelte Jäger wirft ein Netz, das die nächststehende Truppe betäubt. Wenn die Truppe sich in der Luft befindet, wird sie dadurch auf den Boden befördert.","¡Shhh, no hagas ni un ruido!\n\nLa evolución del cazador lanza una red que aturde a la tropa más cercana. Si la tropa está en el aire, la hará caer al suelo.","Shhh. Fai molto silenzio. Vado a caccia di truppe!\n\nIl cacciatore evoluto lancia una rete sulla truppa più vicina, stordendola, e, se si tratta di un'unità aerea, la trascina al suolo.","Wees heel erg stil.\n\nDe geëvolueerde jager gooit een net dat de dichtstbijzijnde troep verdooft. Als de troep in de lucht is, wordt deze naar de grond gehaald.","Vær veldig, veldig stille.\n\nDen utviklede jegeren kaster et nett som svimeslår den nærmeste enheten. Hvis enheten er i luften, styrter den.","Sakın sesini çıkarma.\n\nEvrimleşmiş Avcı, ağını atarak en yakındaki birliği sersemletir. Havadaki birlikleri ise yere indirir.","狩りは静かに素早く、そしてスマートに。\n\n一番近い敵ユニットを狩猟用の網で捕獲し、気絶させます。空中のユニットは地上に墜落します。","쉿, 조용히 살금살금 다가가세요.\n\n진화한 사냥꾼은 가까운 유닛에 그물을 던져 기절시킵니다. 비행 중인 유닛은 지상으로 끌어내립니다.","Ни звука!\n\nЭволюционировавший охотник бросает сеть, которая оглушает ближайшего воина. Если в сеть попадает воздушный воин, то он становится наземным.","التزم الهدوء التام.\n\nيرمي الصياد المتطور شبكة تصعق أقرب قوة. إذا كانت تلك القوة في الهواء، فستسقطها على الأرض.","Ei, silêncio!\n\nO Caçador evoluído lança uma rede que atordoa a tropa mais próxima. Se for aérea, essa tropa será derrubada no chão.","不要出声，保持安静。\n\n觉醒猎人向距离最近的军队投掷一张捕猎网，将其击晕。飞行军队被网住后，会被当成地面军队攻击。","千萬千萬，保持安靜。\n\n進化獵人向距離最近的軍隊投擲一張捕獵網，將其擊暈。飛行軍隊被網住後，會被當成地面軍隊攻擊。","خیلی، خیلی آروم باش.\n\nشکارچی تکامل‌یافته یه تور می‌ندازه که نزدیک‌ترین نیرو رو گیج می‌کنه. اگه اون نیرو هوایی باشه، به زمین میارتش.","Ssst!\n\nPemburu Evolusi melempar jaring yang memberi efek kejut pada Peleton terdekat. Jika Peleton itu terbang, mereka akan jatuh.","Jangan mengeluarkan bunyi.\n\nPemburu evolusi melontarkan jaring yang memegun askar terdekat. Jika itu askar udara, dia akan ditarik ke tanah.","เงียบไว้นะ เงียบให้มากๆ\n\nนักล่าที่วิวัฒนาการแล้วโยนตาข่ายที่สตันกองกำลังที่อยู่ใกล้ที่สุด หากกองกำลังนั้นบินได้ พวกเขาจะลงมาอยู่บนพื้นดินแทน","Hiljaa kuin hiiri.\n\nKehittynyt metsästäjä heittää verkkonsa ja lamaannuttaa lähimmän joukon. Jos kyseessä on lentävä joukko, verkko pudottaa joukon maan pinnalle.","Đừng làm ồn!\n\nThợ săn tiến hóa sẽ ném ra một tấm lưới và làm choáng binh lính ở gần nhất. Nếu binh lính đó ở trên không trung, tấm lưới sẽ kéo chúng xuống mặt đất."
"TID_AUGMENT_THORNWALL_DES","Combat Start: Troops in the first row of hexes reflect 40% of Damage taken","Début : les troupes sur la première ligne d'hexas renvoient 40 % des dégâts subis","Zu Kampfbeginn: Einheiten in den ersten Hexfelder-Reihen reflektieren 40 % des erlittenen Schadens.","Al inicio del combate, las tropas en la primera fila reflejan el 40 % del daño que reciben.","A inizio battaglia, le truppe nella prima linea di caselle riflettono il 40% dei danni subiti.","Begin gevecht: troepen op de eerste rij hexen weerkaatsen 40% van de opgelopen schade.","Kampstart: Tropper i den første rekken av heksagoner kaster tilbake 40 % av skaden de tar","Savaş Başlangıcı: İlk altıgen sırasındaki birlikler aldıkları hasarın %40'ını geri yansıtır.","バトル開始時：最前列のユニットが受けたダメージの40％を敵に反射","전투 시작 시: 첫 번째 열에 배치된 유닛이 받은 피해량의 40%를 반사합니다.","В начале сражения войска в первом ряду отражают 40 % полученного урона.","بداية الاشتباك: ستعكس القوات في الصف الأول من الأسداس 40% من الضرر المتكبد.","Início do combate: as tropas na primeira linha refletem 40% do dano recebido.","每轮对战开始时：位于己方战场首排的部队会反弹40%所受伤害。","每輪對戰開始時：位於己方戰場首排的部隊會反彈40%所受傷害。","شروع نبرد: نیروهای ردیف اول خونه‌ها، ‎40% از آسیب دریافتی رو بازتاب می‌دن","Awal Pertempuran: Peleton di baris heksagon pertama akan memantulkan 40% Kerusakan yang diterima.","Kombat Mula: Askar di barisan heks pertama memantulkan 40% kerosakan yang diambil.","เริ่มต้นการต่อสู้: กองกำลังในช่องหกเหลี่ยมแถวหน้าจะสะท้อนความเสียหายที่ได้รับกลับไป 40%","Taistelun aloitus: ensimmäisen rivin ruuduissa olevat joukot heijastavat 40 % kärsimästään vahingosta.","Bắt đầu chiến đấu: Các Binh lính ở hàng ô lục giác đầu tiên sẽ đánh trả lại 40% Sát thương đã nhận."
"TID_AUGMENT_RICHER_GET_RICHER_DES","Every 2 Elixir, you'll gain +1 Elixir interest next round","Tous les 2 élixirs, vous gagnez +1 élixir d'intérêt au prochain round","Für alle 2 Elixiereinheiten erhältst du nächste Runde +1 zusätzliches Elixier.","Cada 2 de elixir, ganarás un interés de +1 de elixir en la siguiente ronda.","Ogni due unità d'elisir che ottieni, ne ricevi un'altra per il turno successivo.","Voor elke 2 elixir krijg je +1 elixir rente in de volgende ronde.","For hver 2. eliksir får du +1 i eliksirrente i neste runde","Her 2 iksirde bir sonraki tur +1 iksir kazanırsın.","2エリクサーごとに、次のラウンドで+1エリクサーを獲得","2엘릭서마다 다음 라운드에서 이자로 +1엘릭서를 얻습니다.","За каждые 2 капли эликсира ты получаешь 1 каплю эликсира в следующем раунде.","كل 2 إكسير، ستكتسب فائدة +1 إكسير في الجولة التالية.","A cada 2 de elixir, você ganha juros de +1 de elixir na próxima rodada.","每拥有2圣水，下一轮+1圣水利息。","每擁有2聖水，下一輪+1聖水利息。","به‌ازای هر 2 اکسیر، تو نوبت بعد 1 اکسیر سود می‌گیری","Setiap 2 Eliksir, kamu akan mendapatkan bunga +1 Eliksir di ronde berikutnya.","Setiap 2 eliksir, anda akan mendapat +1 eliksir dalam pusingan seterusnya.","ท่านจะได้รับน้ำอมฤตเป็นดอกเบี้ยเพิ่ม 1 หยดในรอบถัดไปทุกๆ ครั้งที่มีน้ำอมฤต 2 หยด","Saat yhden lisäeliksiirin seuraavassa erässä jokaisesta kahdesta eliksiiristä.","Với mỗi 2 Tiên dược, bạn sẽ nhận được thêm 1 Tiên dược lãi trong hiệp sau."
"TID_AUGMENT_LESS_IS_MORE_DES","Combat Start: If you have fewer Troops, your team will gain +25% HP and Hit Speed","Début : si vous avez moins de troupes, votre équipe gagne +25 % de PV et de vitesse de frappe","Zu Kampfbeginn: Falls du weniger Truppen hast, erhält dein Team +25 % TP und Treffergeschwindigkeit.","Al inicio del combate, si tienes menos tropas que tu rival, tu equipo ganará +25 % de PV y de velocidad de ataque.","Se hai meno truppe degli avversari a inizio battaglia, la salute e la velocità dei colpi della squadra aumentano del 25%.","Begin gevecht: als je minder troepen hebt, krijgt je team +25% gezondheid en trefsnelheid.","Kampstart: Hvis du har færre tropper enn motstanderen, får laget ditt +25 % HP og treffhastighet","Savaş Başlangıcı: Daha az birliğin varsa takımın +%25 İP ve vuruş hızı kazanır.","バトル開始時：自軍のユニット数が相手より少ない場合、味方全員のヒットポイントと攻撃速度が25％アップ","전투 시작 시: 상대보다 더 적은 유닛을 보유한 경우, 팀의 HP와 공격 속도가 +25% 증가합니다.","Если в начале сражения у тебя меньше воинов, запас здоровья и скорость атаки твоей команды увеличиваются на 25 %.","بداية الاشتباك: إذا كان عدد قواتك أقل، فسيكتسب فريقك +25% من الصحة وسرعة الإصابة.","Início do combate: caso tenha menos tropas do que o oponente, sua equipe ganha +25% de saúde e velocidade de ataque.","每轮对战开始时：若您场上部队更少，则您的队伍+25%生命值和攻速。","每輪對戰開始時：若你場上部隊更少，則你的隊伍+25%生命值和攻擊速度。","شروع نبرد: اگه تعداد نیروهات کمتر باشه، تیمت ‎25% تحمل ضربه و سرعت ضربه بیشتری می‌گیره","Awal Pertempuran: Jika Peletonmu lebih sedikit, timmu akan mendapatkan 25% HP dan Kecepatan Serangan.","Kombat Mula: Jika bilangan askar anda kurang, pasukan anda akan mendapat +25% nilai nyawa dan kelajuan serangan.","เริ่มต้นการต่อสู้: หากท่านมีกองกำลังน้อยกว่า ทีมของท่านจะได้รับพลังชีวิตและความเร็วการตีเพิ่ม 25%","Taistelun aloitus: jos sinulla on vähemmän joukkoja, joukkueesi saa +25 % elinvoimaa ja osumisnopeutta.","Bắt đầu chiến đấu: Nếu bạn có ít Binh lính hơn, đội của bạn sẽ được tăng 25% Máu và Tốc độ đánh."
"TID_BATTLE_BONUS_REWARD","Daily Gold","Or du jour","Tägliches Gold","Oro diario","Oro giornaliero","Dagelijks goud","Daglig gull","Günlük Altın","デイリーゴールド","일일 골드","Золото дня","ذهب يومي","Ouro diário","每日金币","每日金幣","طلای روزانه","Emas Harian","Emas Harian","ทองคำรายวัน","Päivittäinen kulta","Vàng hằng ngày"
"TID_RULER_GOBLIN_QUEEN_PASSIVE_TITLE","Loot Frenzy","Butin frénétique","Beuterausch","Botín frenético","Bottino di guerra","Buitgraai","Utbyttebonanza","Ganimet Çılgınlığı","エリクサードロップ","전리품 러시","Охота за добычей","هوس الغنائم","Saque desenfreado","战利品狂欢","戰利品狂歡","هیجان غنیمت","Demam Rampasan","Pesta Rampasan","ของปล้นพลุ่งพล่าน","Saalistempaus","Cơn sốt chiến lợi phẩm"
